"","year","mtbs_severity","severity_desc","tot_acres"
"1",1984,1,"unburned_low",65361.7435465
"2",1984,2,"low",135458.2660045
"3",1984,3,"moderate",38202.260029
"4",1984,4,"high",14196.775302
"5",1985,1,"unburned_low",181755.463439
"6",1985,2,"low",172345.952138
"7",1985,3,"moderate",122803.1293745
"8",1985,4,"high",73729.3366065
"9",1986,1,"unburned_low",27018.9301995
"10",1986,2,"low",68351.1704145
"11",1986,3,"moderate",15633.4437725
"12",1986,4,"high",4399.185605
"13",1987,1,"unburned_low",198451.7304815
"14",1987,2,"low",300773.4384095
"15",1987,3,"moderate",187624.89904
"16",1987,4,"high",112206.2538445
"17",1988,1,"unburned_low",80238.156445
"18",1988,2,"low",102990.448162
"19",1988,3,"moderate",52281.833426
"20",1988,4,"high",28707.571642
"21",1989,1,"unburned_low",37919.5966145
"22",1989,2,"low",48782.0111795
"23",1989,3,"moderate",38818.515188
"24",1989,4,"high",26198.9616805
"25",1990,1,"unburned_low",79504.4769935
"26",1990,2,"low",147518.9421365
"27",1990,3,"moderate",64199.287497
"28",1990,4,"high",40383.0604985
"29",1991,1,"unburned_low",8782.1364115
"30",1991,2,"low",13831.3811385
"31",1991,3,"moderate",8352.247843
"32",1991,4,"high",3632.1469745
"33",1992,1,"unburned_low",34168.0237975
"34",1992,2,"low",74690.5256465
"35",1992,3,"moderate",51073.786504
"36",1992,4,"high",52343.2143095
"37",1993,1,"unburned_low",73275.6518275
"38",1993,2,"low",161587.6182105
"39",1993,3,"moderate",64556.008277
"40",1993,4,"high",17241.356007
"41",1994,1,"unburned_low",84219.4627865
"42",1994,2,"low",128751.737458
"43",1994,3,"moderate",74089.6157085
"44",1994,4,"high",60099.889685
"45",1995,1,"unburned_low",29402.776849
"46",1995,2,"low",81353.242466
"47",1995,3,"moderate",44243.161832
"48",1995,4,"high",13950.1398015
"49",1996,1,"unburned_low",123933.1158245
"50",1996,2,"low",301915.656543
"51",1996,3,"moderate",164736.9466885
"52",1996,4,"high",67930.844805
"53",1997,1,"unburned_low",62241.993497
"54",1997,2,"low",122070.7842905
"55",1997,3,"moderate",35672.5225895
"56",1997,4,"high",18513.4525525
"57",1998,1,"unburned_low",38646.381841
"58",1998,2,"low",90401.585098
"59",1998,3,"moderate",30024.814266
"60",1998,4,"high",4495.037635
"61",1999,1,"unburned_low",192183.98638
"62",1999,2,"low",334570.508165
"63",1999,3,"moderate",169622.2866775
"64",1999,4,"high",71654.1735355
"65",2000,1,"unburned_low",52305.40724
"66",2000,2,"low",81906.559982
"67",2000,3,"moderate",65792.9664875
"68",2000,4,"high",43511.706322
"69",2001,1,"unburned_low",64295.361924
"70",2001,2,"low",109409.865398
"71",2001,3,"moderate",85808.249089
"72",2001,4,"high",42844.078035
"73",2002,1,"unburned_low",95293.374516
"74",2002,2,"low",177814.188108
"75",2002,3,"moderate",139613.484843
"76",2002,4,"high",82127.8425105
"77",2003,1,"unburned_low",189914.4504585
"78",2003,2,"low",243301.1397615
"79",2003,3,"moderate",233341.4244735
"80",2003,4,"high",264090.800016
"81",2004,1,"unburned_low",54099.4636755
"82",2004,2,"low",110422.427562
"83",2004,3,"moderate",59315.9490675
"84",2004,4,"high",26254.115514
"85",2005,1,"unburned_low",67242.9786255
"86",2005,2,"low",122622.100254
"87",2005,3,"moderate",61021.492488
"88",2005,4,"high",10700.288973
"89",2006,1,"unburned_low",157771.10619
"90",2006,2,"low",300966.6992445
"91",2006,3,"moderate",197613.970443
"92",2006,4,"high",81778.90554
"93",2007,1,"unburned_low",210916.719855
"94",2007,2,"low",271034.6234895
"95",2007,3,"moderate",209222.963343
"96",2007,4,"high",287466.685911
"97",2008,1,"unburned_low",389672.7486705
"98",2008,2,"low",470577.6438255
"99",2008,3,"moderate",346929.8601375
"100",2008,4,"high",208954.0883925
"101",2009,1,"unburned_low",68065.615881
"102",2009,2,"low",142725.4510815
"103",2009,3,"moderate",130509.098802
"104",2009,4,"high",77772.0238335
"105",2010,1,"unburned_low",21201.312474
"106",2010,2,"low",37788.383862
"107",2010,3,"moderate",30472.7167845
"108",2010,4,"high",7991.079174
"109",2011,1,"unburned_low",15779.334564
"110",2011,2,"low",95425.2544545
"111",2011,3,"moderate",22533.6779235
"112",2011,4,"high",5872.993956
"113",2012,1,"unburned_low",82020.870756
"114",2012,2,"low",312850.794141
"115",2012,3,"moderate",179173.463292
"116",2012,4,"high",84651.352902
"117",2013,1,"unburned_low",83679.044148
"118",2013,2,"low",188263.8384795
"119",2013,3,"moderate",167880.270582
"120",2013,4,"high",108794.944611
"121",2014,1,"unburned_low",60069.199239
"122",2014,2,"low",163193.7512835
"123",2014,3,"moderate",151880.320674
"124",2014,4,"high",154311.537348
"125",2015,1,"unburned_low",131152.0413015
"126",2015,2,"low",293165.767368
"127",2015,3,"moderate",216645.602175
"128",2015,4,"high",156420.5043915
"129",2016,1,"unburned_low",116254.945719
"130",2016,2,"low",220460.557428
"131",2016,3,"moderate",137947.0828545
"132",2016,4,"high",60780.41685
"133",2017,1,"unburned_low",300700.937817
"134",2017,2,"low",589003.6046535
"135",2017,3,"moderate",340448.3948295
"136",2017,4,"high",93614.74083
"137",2018,1,"unburned_low",207194.0583195
"138",2018,2,"low",613411.8458175
"139",2018,3,"moderate",486080.3196315
"140",2018,4,"high",277267.8965355
"141",2019,1,"unburned_low",54381.682296
"142",2019,2,"low",138589.8029595
"143",2019,3,"moderate",49896.6524145
"144",2019,4,"high",16888.63833
"145",2020,1,"unburned_low",600957.531423
"146",2020,2,"low",1584133.5926655
"147",2020,3,"moderate",1161423.696231
"148",2020,4,"high",863409.728763
"149",2021,1,"unburned_low",360596.4469515
"150",2021,2,"low",877963.4472375
"151",2021,3,"moderate",701885.93778
"152",2021,4,"high",560181.944637
"153",2022,1,"unburned_low",23948.5517325
"154",2022,2,"low",117858.6324585
"155",2022,3,"moderate",95022.7204095
"156",2022,4,"high",72728.783757
"157",2023,1,"unburned_low",17021.8526355
"158",2023,2,"low",66848.4507825
"159",2023,3,"moderate",43559.965926
"160",2023,4,"high",31701.446397
"161",2024,1,"unburned_low",2528.180676
"162",2024,2,"low",23391.6759045
"163",2024,3,"moderate",5742.670779
"164",2024,4,"high",945.8438085
